Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Արարատ,Արտաշատ / Բյուրավան,գ. Բյուրավանի մ/դ,10
Սյունիք,Սիսիան / Բնունիս,գ. Բնունիսի հմ/դ,2
Լոռի,Ստեփանավան / Բովաձոր,գ. Բովաձորի մ/դ,2
Կոտայք,Նաիրի / Բուժական,գ. Բուժականի մ/դ,8
Կոտայք,Հրազդան / Բջնի,գ. Բջնիի Հ.Թումանյանի անվ. մ/դ,16
Սյունիք,Սիսիան / Բռնակոթ,գ. Բռնակոթի մ/դ,6
Գեղարքունիք,Սևան / Գագարին,գ. Գագարինի մ/դ,10
Արմավիր,Վաղարշապատ / Գայ,գ. Գայի մ/դ,25
Գեղարքունիք,Գավառ / Գանձակ,գ. Գանձակի թիվ 1 մ/դ,15
Գեղարքունիք,Գավառ / Գանձակ,գ. Գանձակի հ․ 2 մ/դ,8
Տավուշ,Իջևան / Գանձաքար,գ. Գանձաքարի մ/դ,21
Արագածոտն,Թալին / Գառնահովիտ,գ. Գառնահովիտի մ/դ,1
Շիրակ,Ամասիա / Գառնառիճ,գ. Գառնառիճի մ/դ,1
Կոտայք,Աբովյան / Գառնի Բանավան,գ. Գառնի Բանավանի հմ/դ,10
Կոտայք,Աբովյան / Գառնի,գ. Գառնիի Ա․Հակոբյանի անվ․ թիվ 1 հմ/դ,39
Լոռի,Ստեփանավան / Գարգառ,գ. Գարգառի Վ.Բալայանի անվ. մ/դ,7
Կոտայք,Աբովյան / Գեղադիր,գ. Գեղադիրի մ/դ,1
Արագածոտն,Արագած / Գեղադիր,գ. Գեղադիրի Ռ․ Խաչատրյանի մ/դ,9
Արմավիր,Վաղարշապատ / Գեղակերտ,գ. Գեղակերտի մ/դ,11
Արագածոտն,Արագած / Գեղաձոր,գ. Գեղաձորի մ/դ,2
Գեղարքունիք,Վարդենիս / Գեղամասար,գ. Գեղամասարի մ/դ,8
Գեղարքունիք,Սևան / Գեղամավան,գ. Գեղամավանի Ա.Աբրահամյանի անվ. մ/դ,3
Շիրակ,Արթիկ / Գեղանիստ,գ. Գեղանիստի մ/դ,11
Արարատ,Մասիս / Գեղանիստ,գ. Գեղանիստի մ/դ,23
Սյունիք,Կապան / Գեղանուշ,գ. Գեղանուշի մ/դ,1
Կոտայք,Աբովյան / Գեղաշեն,գ. Գեղաշենի մ/դ,44
Լոռի,Սպիտակ / Գեղասար,գ. Գեղասարի մ/դ,7
Կոտայք,Աբովյան / Գեղարդ,գ. Գեղարդի մ/դ,3
Արագածոտն,Արագած / Գեղարոտ,գ. Գեղարոտի մ/դ,3
Գեղարքունիք,Գավառ / Գեղարքունիք,գ. Գեղարքունիքի մ/դ,9
Սյունիք,Կապան / Գեղի,գ. Գեղիի մ/դ,2
Գեղարքունիք,Մարտունի / Գեղհովիտ,գ. Գեղհովիտի h. 2 մ/դ,22
Գեղարքունիք,Մարտունի / Գեղհովիտ,գ. Գեղհովիտի հ․ 1 մ/դ,16
Արարատ,Արտաշատ / Գետազատ,գ. Գետազատի մ/դ,13
Տավուշ,Իջևան / Գետահովիտ,գ. Գետահովիտի մ/դ,8
Կոտայք,Նաիրի / Գետամեջ,գ. Գետամեջի մ/դ,2
Արմավիր,Արմավիր / Գետաշեն,գ. Գետաշենի մ/դ,10
Կոտայք,Աբովյան / Գետարգել,գ. Գետարգելի հմ/դ,12
Շիրակ,Արթիկ / Գետափ,գ. Գետափի Գ. Արշակյանի անվան մ/դ,5
Արագածոտն,Թալին / Գետափ,գ. Գետափի հմ/դ,1
Վայոց Ձոր,Եղեգնաձոր / Գետափ,գ. Գետափի մ/դ,9
Գեղարքունիք,Ճամբարակ / Գետիկ,գ. Գետիկի մ/դ,4
Շիրակ,Ախուրյան / Գետք,գ. Գետքի մ/դ,1
Վայոց Ձոր,Եղեգնաձոր / Գլաձոր,գ. Գլաձորի մ/դ,16
Լոռի,Ստեփանավան / Գյուլագարակ,գ. Գյուլագարակի մ/դ,10
Վայոց Ձոր,Վայք / Գնդևազ,գ. Գնդեվազի մ/դ,3
Լոռի,Սպիտակ / Գոգարան,գ. Գոգարանի մ/դ,4
Կոտայք,Աբովյան / Գողթ,գ. Գողթի մ/դ,19
Վայոց Ձոր,Վայք / Գոմք,գ. Գոմքի մ/դ,1
Տավուշ,Դիլիջան / Գոշ,գ. Գոշի թիվ 1 մ/դ,2
Տավուշ,Դիլիջան / Գոշ,գ. Գոշի թիվ 2 հմ/դ,1
Արարատ,Արարատ / Գոռավան,գ. Գոռավանի մ/դ,28
Սյունիք,Սիսիան / Գորայք,գ. Գորայքի մ/դ,1
Լոռի,Վանաձոր / Գուգարք,գ. Գուգարքի Հ.Շիրազի անվ. մ/դ,7
